,average_effective_entropy_bits,average_challenge_length,user_verification,unique_challenge_count
313,3518.96,597.0,required,5
314,3528.15,597.0,required,5
315,721.08,128.0,discouraged,5
316,719.49,128.0,discouraged,5
317,716.08,128.0,discouraged,5
318,718.11,128.0,discouraged,5
319,3511.32,597.0,required,5
320,719.39,128.0,discouraged,5
321,3514.18,597.0,required,5
322,3514.3,597.0,required,5
323,3513.94,597.0,required,5
324,3514.18,597.0,required,5
325,3519.08,597.0,required,5
326,3517.17,597.0,required,5
327,724.53,128.0,discouraged,5
328,3517.64,597.0,required,5
329,711.04,128.0,discouraged,5
330,3512.99,597.0,required,5
331,719.87,128.0,discouraged,5
332,3513.7,597.0,required,5
333,3523.02,597.0,required,5
334,714.19,128.0,discouraged,5
335,708.56,128.0,discouraged,5
336,3516.93,597.0,required,5
337,3508.57,597.0,required,5
338,714.06,128.0,discouraged,5
339,3520.87,597.0,required,5
340,3526.96,597.0,required,5
341,3521.7,597.0,required,5
342,3522.3,597.0,required,5
343,3520.03,597.0,required,5
344,3520.87,597.0,required,5
345,715.67,128.0,discouraged,5
346,3521.11,597.0,required,5
347,156.81,32.0,preferred,5
348,62.93,16.0,required,15
349,3509.17,597.0,required,5
350,3520.99,597.0,required,5
351,3525.17,597.0,required,5
352,717.7,128.0,discouraged,5
353,3521.82,597.0,required,5
354,718.08,128.0,discouraged,5
355,3519.32,597.0,required,5
356,714.21,128.0,discouraged,5
357,3512.63,597.0,required,5
358,3505.46,597.0,required,5
359,3526.36,597.0,required,5
360,3523.61,597.0,required,5
361,3516.33,597.0,required,5
362,3520.75,597.0,required,5
363,717.36,128.0,discouraged,5
364,3520.03,597.0,required,5
365,157.2,32.0,preferred,5
366,3523.37,597.0,required,5
367,3509.17,597.0,required,5
368,720.69,128.0,discouraged,5
369,3515.61,597.0,required,5
370,3523.97,597.0,required,5
371,3517.05,597.0,required,5
372,3518.84,597.0,required,5
373,3517.64,597.0,required,5
374,3520.51,597.0,required,5
375,3513.82,597.0,required,5
376,719.05,128.0,discouraged,5
377,152.0,32.0,unknown,1
378,3514.9,597.0,required,5
379,715.26,128.0,discouraged,5
380,712.22,128.0,discouraged,5
381,3516.93,597.0,required,5
382,716.95,128.0,discouraged,5
383,3518.24,597.0,required,5
384,712.86,128.0,discouraged,5
385,714.55,128.0,discouraged,5
386,369.95,64.0,required,5
387,3517.05,597.0,required,5
388,715.08,128.0,discouraged,5
389,3513.7,597.0,required,5
390,710.89,128.0,discouraged,5
391,3521.94,597.0,required,5
392,312.55,67.0,required,10
393,3518.36,597.0,required,5
394,3516.93,597.0,required,5
395,63.0,16.0,preferred,2
396,153.98,32.0,unknown,1
397,721.28,128.0,discouraged,5
398,3515.26,597.0,required,5
399,156.0,32.0,required,5
400,3516.57,597.0,required,5
401,3512.99,597.0,required,5
402,711.65,128.0,discouraged,5
403,158.02,32.0,unknown,1
404,154.79,32.0,unknown,5
405,3518.84,597.0,required,5
406,3519.2,597.0,required,5
407,3524.33,597.0,required,5
408,718.46,128.0,discouraged,5
409,156.4,32.0,preferred,5
410,3517.52,597.0,required,5
411,3522.18,597.0,required,5
412,715.08,128.0,discouraged,5
413,3515.85,597.0,required,5
414,3513.58,597.0,required,5
415,3520.99,597.0,required,5
416,3516.45,597.0,required,5
417,3509.05,597.0,required,5
418,3517.76,597.0,required,5
419,3513.82,597.0,required,5
420,156.0,32.0,unknown,5
421,3518.72,597.0,required,5
422,3524.57,597.0,required,5
423,717.77,128.0,discouraged,5
424,3517.4,597.0,required,5
425,718.44,128.0,discouraged,5
426,3519.08,597.0,required,5
427,3523.85,597.0,required,5
428,3520.39,597.0,required,5
429,3524.21,597.0,required,5
430,719.54,128.0,discouraged,5
431,156.0,32.0,required,1
432,710.96,128.0,discouraged,5
433,3521.7,597.0,required,5
434,3518.84,597.0,required,5
435,706.43,128.0,discouraged,5
436,3520.15,597.0,required,5
437,3522.9,597.0,required,5
438,722.05,128.0,discouraged,5
439,3514.42,597.0,required,5
440,713.47,128.0,discouraged,5
441,3526.72,597.0,required,5
442,712.27,128.0,discouraged,5
443,714.85,128.0,discouraged,5
444,711.24,128.0,discouraged,5
445,3515.14,597.0,required,5
446,3518.6,597.0,required,5
447,715.34,128.0,discouraged,5
448,3515.61,597.0,required,5
449,716.11,128.0,discouraged,5
450,717.29,128.0,discouraged,5
451,721.77,128.0,discouraged,5
452,3515.14,597.0,required,5
453,158.02,32.0,required,1
454,3523.85,597.0,required,5
455,3519.32,597.0,required,5
456,3518.84,597.0,required,5
457,710.48,128.0,discouraged,5
458,3519.43,597.0,required,5
459,3521.46,597.0,required,5
460,723.76,128.0,discouraged,5
461,3511.32,597.0,required,5
462,236.67,49.67,preferred,10
463,3517.4,597.0,required,5
464,3519.67,597.0,required,5
465,3508.57,597.0,required,5
466,716.42,128.0,discouraged,5
467,3516.09,597.0,required,5
468,3515.85,597.0,required,5
469,3522.78,597.0,required,5
470,3516.81,597.0,required,5
471,713.22,128.0,discouraged,5
472,155.6,32.0,required,5
473,3521.82,597.0,required,5
474,3519.91,597.0,required,5
475,63.12,16.0,required,10
476,3506.18,597.0,required,5
477,3518.0,597.0,required,5
478,3515.73,597.0,required,5
479,718.85,128.0,discouraged,5
480,3516.81,597.0,required,5
481,157.2,32.0,required,5
482,3522.18,597.0,required,5
483,3515.37,597.0,required,5
484,3512.63,597.0,required,5
485,3504.51,597.0,required,5
486,721.77,128.0,discouraged,5
487,3519.08,597.0,required,5
488,3517.64,597.0,required,5
489,713.98,128.0,discouraged,5
490,3521.46,597.0,required,5
491,3522.9,597.0,required,5
492,3521.82,597.0,required,5
493,719.74,128.0,discouraged,5
494,3520.99,597.0,required,5
495,3513.58,597.0,required,5
496,3519.67,597.0,required,5
497,716.85,128.0,discouraged,5
498,3512.03,597.0,required,5
499,3517.4,597.0,required,5
500,717.7,128.0,discouraged,5
501,713.4,128.0,discouraged,5
502,718.08,128.0,discouraged,5
503,3514.18,597.0,required,5
504,716.67,128.0,discouraged,5
505,3519.08,597.0,required,5
506,719.92,128.0,discouraged,5
507,3512.03,597.0,required,5
508,3512.99,597.0,required,5
509,3515.14,597.0,required,5
510,3518.12,597.0,required,5
511,716.57,128.0,discouraged,5
512,708.94,128.0,discouraged,5
513,3517.29,597.0,required,5
514,3511.08,597.0,required,5
515,719.54,128.0,discouraged,5
516,3513.23,597.0,required,5
517,3514.42,597.0,required,5
518,3524.09,597.0,required,5
519,3520.03,597.0,required,5
520,716.54,128.0,discouraged,5
521,3513.7,597.0,required,5
522,711.53,128.0,discouraged,5
523,3526.36,597.0,required,5
524,720.44,128.0,discouraged,5
525,3521.46,597.0,required,5
526,713.19,128.0,discouraged,5
527,158.4,32.0,required,5
528,3524.69,597.0,required,5
529,3525.05,597.0,required,5
530,3522.54,597.0,required,5
531,3521.7,597.0,required,4
532,712.73,128.0,discouraged,5
533,3530.9,597.0,required,5
534,3523.49,597.0,required,5
